"DateTime","Sensor_id","Vendor","SensorModel","LAT","LONG","Zone","NoiseLevel_db","AlertTriggered","SensorStatus"
21-04-26 16:11:54,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",66,"None","Normal"
21-04-26 16:21:55,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",66,"None","Normal"
21-04-26 16:31:55,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",62,"None","Normal"
21-04-26 16:41:56,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",67,"None","Normal"
21-04-26 16:52:01,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",59,"None","Normal"
21-04-26 17:02:01,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",62,"None","Normal"
21-04-26 17:12:02,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",64,"None","Normal"
21-04-26 17:22:02,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",61,"None","Normal"
21-04-26 17:32:02,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",59,"None","Normal"
21-04-26 17:42:05,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",72,"None","Normal"
21-04-26 17:52:06,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",61,"None","Normal"
21-04-26 18:02:07,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",59,"None","Normal"
21-04-26 18:12:09,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",63,"None","Normal"
21-04-26 18:22:09,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",64,"None","Normal"
